True News,Count,Percentage,Precision,Recall,F1,Accuracy,,,,,,,,,,,,,,,Fake News,Count,Percentage,Precision,Recall,F1,Accuracy,Unknow,Count,Percentage,,,,
0.9799000000000011,72,0.96%,100.00%,1.85%,3.62%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.94%,100.00%,66.61%,49.94%,不确定,0,0.00%,--,--,--,--
0.9798000000000011,72,0.96%,100.00%,1.85%,3.62%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.94%,100.00%,66.61%,49.94%,不确定,0,0.00%,--,--,--,--
0.9797000000000011,72,0.96%,100.00%,1.85%,3.62%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.94%,100.00%,66.61%,49.94%,不确定,0,0.00%,--,--,--,--
0.9796000000000011,72,0.96%,100.00%,1.85%,3.62%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.94%,100.00%,66.61%,49.94%,不确定,0,0.00%,--,--,--,--
0.9795000000000011,72,0.96%,100.00%,1.85%,3.62%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.94%,100.00%,66.61%,49.94%,不确定,0,0.00%,--,--,--,--
0.9794000000000012,72,0.96%,100.00%,1.85%,3.62%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.94%,100.00%,66.61%,49.94%,不确定,0,0.00%,--,--,--,--
0.9793000000000012,72,0.96%,100.00%,1.85%,3.62%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.94%,100.00%,66.61%,49.94%,不确定,0,0.00%,--,--,--,--
0.9792000000000012,73,0.97%,100.00%,1.87%,3.67%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
0.9791000000000012,73,0.97%,100.00%,1.87%,3.67%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
0.9790000000000012,74,0.99%,100.00%,1.90%,3.73%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
0.9789000000000012,74,0.99%,100.00%,1.90%,3.73%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
0.9788000000000012,74,0.99%,100.00%,1.90%,3.73%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.95%,100.00%,66.62%,49.95%,不确定,0,0.00%,--,--,--,--
